satayanarayan	s a ʈ aj ə n ɑː aj ə n
jashitha	dʒ a ʃ ɪ t̪ ə
yanuksha	j ə n ʊ c ʃ ə
isley	aj s ʎ i
elektra	ɛ l ɛ k ʈ ɹ ə
jared	dʒ a ɹ ə ɖ
allana	ə l ɑː n ə
stavit	s ʈ eː ʋ ɪ ʈ
enrique	ɪ n ɹ ɪ k
haridas	h ə ɹ iː ɖ ə s
nagagamin	n ɑː ɡ ə ɡ a mʲ ɪ n
ghritaprit	ɡ ɹ ɪ ʈ eː p ɹ iː
molshree	m oː l ʃ ɹ iː
tvictor	ʈ ʋ ɪ k ʈ ə
jivananda	dʒ ɪ ʋ a n a n ɖ ə
sithirasenan	s ɪ d̪ ɪ ɹ a z ə n ɑː n
ramakaant	ɹ a m ə k ɑː ə n ʈ
svabodha	s ʋ ə b ɒ ɖ ə
carlin	k ɑː ʎ ɪ n
anukshan	ə n ʊ c ʃ ɑː n
brynlyn	b ɹ ɪ n ʎ ɪ n
sukithan	s j ʉː c ɪ t̪ ə n
illaan	ɪ l eː ə n
ghanachchhavaye	ɡ ɑː ɲ eː tʃ tʃ h ə ʋ a i
hudhayfah	h ə ɖ h f ə
kalaiselvan	k ə l eː s ɛ l ʋ ɪ n
jayleah	dʒ eː ʎ iː ə
larah	l ɑː ɹ ə
udayasankar	j ʉː ɖ aj ə s a ŋ k ə
anneth	a n ə t̪
nathila	ɲ eː t̪ ɪ l ə
yathangi	j a t̪ a ŋ iː
gargasamhita	ɡ ɑː ɡ ə s ɑ m ç ɪ ʈ ə
geethanjali	ɟ iː t̪ ə n dʒ ɑː ʎ i
nirabadha	n aj ɹ ə b ɑː ɖ ə
rueban	ɹ ʉː b ə n
kabeeshgar	k ɑː b ə ʃ ɡ ə
toluwani	ʈ ɒ ʎ ʉː ʋ eː ɲ i
panneerselvam	p a n ə s ɛ l ʋ ɪ m
ursula	ɜː ʃ ʊ l ə
lahu	l a ʉː
yasin	j a s ɪ n
darionna	ɖ ɑː ɹ i ɒ n ə
treyvonn	ʈ ɹ eː ʋ ɒ n
jehlani	dʒ ə h l ə ɲ i
nimalavan	ɲ ɪ m ə l a ʋ ə n
greysi	ɟ ɹ eː s i
manjubhargavi	m a n dʒ ə b h ɑː ɡ a ʋ i
np	ɛ n p iː
vay	ʋ iː
ranishaa	ɹ a ɲ ɪ ʃ ɑː ə
balvindra	b a l ʋ ɪ n ɖ ɹ ə
tulavirahita	ʈ ʉː l eː ʋ ɪ ɹ ə ç ɪ ʈ ə
amjaad	a m dʒ a a ɖ
ravithyan	ɹ a ʋ ɪ t̪ aj ə n
utkal	ə k ɑː l
eeshanth	iː ʃ a n t̪
sowender	s oː ɛ n ɖ ə ɾ
